episode_id,match_id,player1_name,player2_name,player1_position,player2_position,winner,episode_length,player1_total_reward,player2_total_reward,player1_final_reward,player2_final_reward,termination_reason,timestamp
0,IPPO_latest__vs_scripted_centaur,IPPO_latest_,scripted_centaur,agent_0,agent_1,IPPO_latest_,15,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:55.240230
1,IPPO_latest__vs_scripted_centaur,IPPO_latest_,scripted_centaur,agent_0,agent_1,IPPO_latest_,14,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:55.729500
2,IPPO_latest__vs_scripted_centaur,IPPO_latest_,scripted_centaur,agent_0,agent_1,IPPO_latest_,17,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:56.296164
3,IPPO_latest__vs_scripted_centaur,IPPO_latest_,scripted_centaur,agent_0,agent_1,IPPO_latest_,18,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:56.879472
4,IPPO_latest__vs_scripted_centaur,IPPO_latest_,scripted_centaur,agent_0,agent_1,IPPO_latest_,16,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:58:57.425706
5,IPPO_latest__vs_scripted_centaur,IPPO_latest_,scripted_centaur,agent_1,agent_0,,100,0.0,0.0,0.0,0.0,max_steps,2025-07-29T20:59:00.829555
6,IPPO_latest__vs_scripted_centaur,IPPO_latest_,scripted_centaur,agent_1,agent_0,scripted_centaur,32,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:59:01.872386
7,IPPO_latest__vs_scripted_centaur,IPPO_latest_,scripted_centaur,agent_1,agent_0,scripted_centaur,13,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:59:02.307024
8,IPPO_latest__vs_scripted_centaur,IPPO_latest_,scripted_centaur,agent_1,agent_0,scripted_centaur,52,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:59:04.130871
9,IPPO_latest__vs_scripted_centaur,IPPO_latest_,scripted_centaur,agent_1,agent_0,scripted_centaur,13,1.0,-1.0,1.0,-1.0,winner,2025-07-29T20:59:04.596405
